"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","COMMENT","FULLNAME","GROUP","MANUFACTURER","NAMECOMP","NOISE","PART NUMBER","POWER","PRECISION","PRICE","TKE","TKS","TU","TU_COM","TYPE","TYPECOMP","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"AD5290","RM-10","","","","","","","","","AD5290","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"AD5320BRTZ","RT-6","","","","","","","","","AD5320BRTZ","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"AD7794/7795","AD7794BRU","","","","","","","","","AD7794/7795","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"AD7794/7795-1","AD7794BRU","","","","","","","","","AD7794/7795-1","","Микросхемы","Analog Devices","","","AD7794BRU","","","","","","TU","","Type","","","","*","DD?",""
"ADM232AAN","DIP16","","","","","","","","","ADM232AAN","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"ADM232AARN","","","","","","","","","","","","Микросхемы","Analog Devices","","","ADM232AARN","","","","","","","","Type","","","","*","DD?","Приемопередатчик RS232 SOIC-16 (R-16N)"
"ADM2483BRW","","","","","","","","","","ADM2483BRW","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"ADM2682E","","","","","","","","","","ADM2682E","ADM2682E","Микросхемы","Analog Devices","","","ADM2682E","","","","","","TU","","ADM2682E","","","","*","DD?",""
"ADM810","","","","","","","","","","ADM810","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"ADUM1400CRW","SOIC-RW16","","","","","","","","","ADUM1400CRW","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
"ADUM1402CRW","","","","","","","","","","ADUM1402CRW","","Микросхемы","Analog Devices","","","","","","","","","TU","","Type","","","","*","DD?",""
